chr	peakStart	peakEnd	Gene ID	Gene Name	control score	treat score	fold change	p-value	q-value
chr6	486226	486300	ENSG00000112685	EXOC2	0.9425506857278073	0.03555549965180484	0.037722639418961354	0.0	0.0
chr6	1611101	1611175	ENSG00000054598	FOXC1	0.6429865813327873	0.6922940674292393	1.0766850934808734	0.0	0.0
chr6	1611326	1611425	ENSG00000054598	FOXC1	0.875053789530902	0.6713929992935042	0.7672591186119243	0.0	0.0
chr6	1612301	1612675	ENSG00000054598	FOXC1	0.9361175798768914	0.9452496660750072	1.009755276895149	0.0	0.0
chr6	1612776	1612875	ENSG00000054598	FOXC1	0.9024027476150172	0.006032477007911431	0.006684905408205832	0.0	0.0
chr6	3271901	3272000	ENSG00000180822	PSMG4	0.9447347327287409	0.7135369285007248	0.7552775438241464	0.0	0.0
chr6	4892101	4892225	ENSG00000153046	CDYL	0.6621098737502276	0.6968331998905076	1.0524434501234745	0.0	0.0
chr6	4892376	4892475	ENSG00000153046	CDYL	0.9031392353170254	0.868289440932601	0.9614126006028392	0.0	0.0
chr6	5109451	5109525	ENSG00000214113	LYRM4	0.9698418708305948	0.9200480707425585	0.9486578156855696	0.0	0.0
chr6	7249451	7249575	ENSG00000124782	RREB1	0.8659267140001505	0.8299233875727916	0.9584222015035875	0.0	0.0
chr6	7289951	7290025	ENSG00000124783	SSR1	0.9448426901348266	0.754068674146175	0.7980891232153908	0.0	0.0
chr6	7580426	7580475	ENSG00000096696	DSP	0.8093807529146265	0.38980006880759344	0.48160283945955107	0.0	0.0
chr6	7581601	7581750	ENSG00000096696	DSP	0.8389534427239671	0.0022717710808161837	0.0027078631126896072	0.0	0.0
chr6	7583276	7583425	ENSG00000096696	DSP	0.8589169784974905	0.8118646682403378	0.945219024148921	0.0	0.0
chr6	7880626	7880775	ENSG00000153162	BMP6	0.9264300721393025	0.9075482741910458	0.9796187553533803	0.0	0.0
chr6	7882551	7882650	ENSG00000239264	TXNDC5	0.9509128227506661	0.5397400767899001	0.5676020597015574	0.0	0.0
chr6	8014101	8014125	ENSG00000239264	TXNDC5	0.05009918515136104	0.9982363838972792	19.925201994431244	0.0	0.0
chr6	10397976	10398150	ENSG00000137203	TFAP2A	0.9419833552798227	0.4222049471054225	0.4482085004357679	0.0	0.0
chr6	10529401	10529500	ENSG00000111846	GCNT2	0.9416544675421734	0.8518940307069441	0.9046779472416094	0.0	0.0
chr6	10626651	10627050	ENSG00000111846	GCNT2	0.9290729151970142	0.9229871100754686	0.9934495936519094	0.0	0.0
chr6	11185326	11185775	ENSG00000111859	NEDD9	0.963382487181668	0.0010506609853223785	0.0010905958944676687	0.0	0.0
chr6	11191151	11191425	ENSG00000111859	NEDD9	0.9307780158775081	0.0015475769156232885	0.0016626702492154178	0.0	0.0
chr6	11232851	11232925	ENSG00000111859	NEDD9	0.787407507590712	0.7411447569466983	0.941246749366707	0.0	0.0
chr6	12120901	12120925	ENSG00000095951	HIVEP1	0.5994831629063695	0.6449238575645485	1.0757997846643046	0.0	0.0
chr6	12125701	12125725	ENSG00000095951	HIVEP1	0.3048789782583137	0.19251444044924892	0.6314454395938637	0.0	0.0
chr6	12296401	12296850	ENSG00000078401	EDN1	0.923128132033651	0.9167756998321512	0.9931185802045646	0.0	0.0
chr6	15520326	15520400	ENSG00000008083	JARID2	0.8917638120013912	0.9997051723491949	1.1210425438833969	0.0	0.0
chr6	17629626	17629700	ENSG00000124789	NUP153	0.9074925474227895	0.8823620577496152	0.9723077729458572	0.0	0.0
chr6	17759951	17760000	ENSG00000137177	KIF13A	0.859293033319545	0.796388029868731	0.9267944682295342	0.0	0.0
chr6	17760726	17760900	ENSG00000137177	KIF13A	0.9406108097671193	0.7992453812876916	0.8497089050949482	0.0	0.0
chr6	18264701	18264775	ENSG00000124795	DEK	0.6332320471794406	0.03051420187768652	0.048188025248569945	0.0	0.0
chr6	19839701	19839775	ENSG00000172201	ID4	0.8963617728392963	0.8391900655907002	0.936218043895937	0.0	0.0
chr6	19840626	19840650	ENSG00000172201	ID4	0.6111388951943283	0.6730124582838787	1.1012430456907443	0.0	0.0
chr6	20490676	20490725	ENSG00000112242	E2F3	0.9246793278452325	0.6535806010653205	0.7068186574348432	0.0	0.0
chr6	21596251	21596300	ENSG00000124766	SOX4	0.18268533031282644	0.25586846133420904	1.4005966483245555	0.0	0.0
chr6	21596376	21596475	ENSG00000124766	SOX4	0.7379311634450527	0.5186237867066253	0.7028078124325519	0.0	0.0
chr6	21596551	21596650	ENSG00000124766	SOX4	0.8802228668397625	0.7692822615941297	0.8739630502398337	0.0	0.0
chr6	21597426	21597525	ENSG00000124766	SOX4	0.9331311906729256	0.9208205741435923	0.9868071964024099	0.0	0.0
chr6	24172226	24172325	ENSG00000146038	DCDC2	0.8388129683819466	0.6622242261590507	0.7894778110506183	0.0	0.0
chr6	24172451	24172500	ENSG00000146038	DCDC2	0.7718844639670442	0.5217783021195656	0.6759797955226664	0.0	0.0
chr6	24173776	24173850	ENSG00000146038	DCDC2	0.8754632729233879	0.6648372816055463	0.7594119618353499	0.0	0.0
chr6	24174526	24174600	ENSG00000146038	DCDC2	0.8452403035852982	0.6536929692589445	0.7733812106286724	0.0	0.0
chr6	24174676	24174900	ENSG00000146038	DCDC2	0.9225764393620592	0.9343579724013252	1.012770251370621	0.0	0.0
chr6	24174926	24175000	ENSG00000146038	DCDC2	0.784060075962553	0.8205416467038994	1.046529050336557	0.0	0.0
chr6	24357476	24357575	ENSG00000146038	DCDC2	0.138435475176364	0.31799188477762913	2.2970404397609347	0.0	0.0
chr6	24667276	24667350	ENSG00000112304	ACOT13	0.834752774439481	0.5932138592640852	0.7106461666598424	0.0	0.0
chr6	24701826	24701900	ENSG00000112304	ACOT13	0.9211502393082538	0.014849137257693507	0.016120212126139816	0.0	0.0
chr6	24706051	24706300	ENSG00000112308	C6orf62	0.9450646165733516	0.8237592949221164	0.8716433569473077	0.0	0.0
chr6	26094751	26094900	ENSG00000010704	HFE	0.9246148718176513	0.6302086280402287	0.6815904083408642	0.0	0.0
chr6	26413626	26413825	ENSG00000026950	BTN3A1	0.8821649417416902	0.8048692332105202	0.9123795280522458	0.0	0.0
chr6	26545376	26545450	ENSG00000182952	HMGN4	0.8342616786713493	0.005670613334124621	0.006797163862489379	0.0	0.0
chr6	26545676	26545800	ENSG00000182952	HMGN4	0.8515735345413157	0.7711400536415343	0.9055472279993936	0.0	0.0
chr6	26546026	26546150	ENSG00000182952	HMGN4	0.8198996384944501	0.836299129589058	1.0200018274489322	0.0	0.0
chr6	28244826	28244950	ENSG00000197062	RP5-874C20.3	0.8563128523357236	0.7861208944607184	0.9180300077436115	0.0	0.0
chr6	28245676	28245700	ENSG00000197062	RP5-874C20.3	0.569556900309927	0.6165012628738825	1.0824226034982818	0.0	0.0
chr6	29523726	29523800	ENSG00000213886	UBD	0.8949071991144785	0.6427029784386136	0.7181783531013897	0.0	0.0
chr6	30153701	30153800	ENSG00000234127	TRIM26	0.8955286531592878	0.8290841211188897	0.9258041249646319	0.0	0.0
chr6	30652726	30652825	ENSG00000146112	PPP1R18	0.8786963459748752	0.6239069368014901	0.7100370220719339	0.0	0.0
chr6	30691451	30691525	ENSG00000196230	TUBB	0.879446478509533	0.86608498506217	0.984806928251043	0.0	0.0
chr6	30711251	30711350	ENSG00000137331	IER3	0.927342111941303	0.8879808224974746	0.9575547266354276	0.0	0.0
chr6	30711476	30711800	ENSG00000137331	IER3	0.9461177963646158	0.9511096176155831	1.0052761096664158	0.0	0.0
chr6	30712276	30712325	ENSG00000137331	IER3	0.6134170451120035	0.6398114344654449	1.0430284576598652	0.0	0.0
chr6	30867351	30867450	ENSG00000204580	DDR1	0.8933873300382061	0.7917019416295429	0.8861799524240906	0.0	0.0
chr6	31599551	31599600	ENSG00000204469	PRRC2A	0.7840325270205135	0.8283597377671705	1.0565374639686311	0.0	0.0
chr6	31600276	31600550	ENSG00000204469	PRRC2A	0.9380517854661823	0.002095362039790322	0.0022337381285927544	0.0	0.0
chr6	31627451	31627625	ENSG00000204439	C6orf47	0.8703505565036579	0.7533323328728927	0.8655504695707362	0.0	0.0
chr6	31631851	31631975	ENSG00000204438	GPANK1	0.8842500125673725	0.8572059042179612	0.9694157670737372	0.0	0.0
chr6	31763476	31763525	ENSG00000204394	VARS	0.8883407269469475	0.4769912348787689	0.536946264434024	0.0	0.0
chr6	31797626	31797750	ENSG00000204388	HSPA1B	0.900970702391505	0.8125010176810855	0.9018062579886464	0.0	0.0
chr6	32948626	32948775	ENSG00000204256	BRD2	0.9377185213304611	0.8745449938762504	0.9326306071414924	0.0	0.0
chr6	33169076	33169400	ENSG00000112473	SLC39A7	0.9487419956529615	0.7462174522536343	0.7865335946682304	0.0	0.0
